vin,model_version_id,marker_name,int_value,decimal_value,text_value,datetime_active_from,datetime_active_until,report_dt,ctl_loading,market_price,year_production,engine_power,max_recorded_mileage,market_prices_accidents_count,registration_actions_count,brand,weight_max,model,engine_volume,weight_netto,engine_model,has_pts_duplicate,body_style,owner_types_count,body_color,drive_type,reg_action_types_count,used_in_taxi,shap_year_production,shap_engine_power,shap_max_recorded_mileage,shap_market_prices_accidents_count,shap_registration_actions_count,shap_brand,shap_weight_max,shap_model,shap_engine_volume,shap_weight_netto,shap_engine_model,shap_has_pts_duplicate,shap_body_style,shap_owner_types_count,shap_body_color,shap_drive_type,shap_reg_action_types_count,shap_used_in_taxi,shap_sum,expected_value,shap_diff,datetime_published
MMCGUKS50GHZ00439,349653,ER01,,2768169.01446262,,2026-07-01,2026-07-30,2026-06-30,171218714,2768169.01446262,2016,209.0,96252.0,0,0,14,2600,140004,2998.0,2030,186,0,1,0,3,2,0,0,88911.31432716818,-413541.2455810755,59565.96467163549,90084.72170367348,159309.464371159,460719.59353206423,-33957.78720977411,-3537.376514867243,4687.21846227772,47546.63126038047,-33775.03501651143,465007.3274612094,17374.194780278645,32263.045485624792,8293.757153963728,13251.909841790179,-2407.8638260861594,5415.996991571019,965211.8318944819,-0.6924318616225875,1802957.8749999998,2026-06-30
JMBSNCS3A5U014547,349653,ER01,,582413.2020116448,,2026-07-01,2026-07-30,2026-06-30,171218714,582413.2020116448,2005,98.0,209025.0,0,0,14,1750,140002,1584.0,1300,115,0,2,0,4,1,0,0,46283.913015035105,-1059062.172967217,30217.851295913853,25311.482370595662,-16528.38768163073,-124128.75793073027,26234.20083862429,-6183.516635919369,-13036.80753718099,-108087.61117959359,-15751.54144263839,-55425.18424487594,4428.804890055348,-10271.198920146227,7403.842040944099,4833.160671164804,38982.88920726199,4235.053653844837,-1220543.9805564922,-0.6924318616225875,1802957.8749999986,2026-06-30
JA4LZ31G63U042986,349653,ER01,,646651.2212481797,,2026-07-01,2026-07-30,2026-06-30,171218714,646651.2212481797,2003,140.0,249370.0,0,0,14,2175,140001,2351.0,1570,2096,0,1,0,2,4,0,0,39001.5962863146,-1359417.7104975942,37692.771545171294,42662.4442985832,52966.654435815006,-2293.2660126654973,18309.817806995663,6992.234664575329,-95057.24499839194,-153383.74728497,-46459.23870528499,152441.11781780937,19409.74197860752,67664.42087904275,830.1997985289455,9331.762992039115,48438.05484714485,4564.428828323097,-1156305.9613199562,-0.6924318616225875,1802957.8749999974,2026-06-30
XMCSNDA1A3F018509,349653,ER01,,650851.1423970759,,2026-07-01,2026-07-30,2026-06-30,171218714,650851.1423970759,2003,103.0,249370.0,0,0,14,1850,140020,1597.0,1410,4564,0,2,0,4,1,0,0,41520.91489535605,-1148104.3501309452,31116.40883537466,87747.79526914046,-43418.991275467124,-112254.05306604071,35819.18771160161,-10194.37350898442,55584.36216033612,-172020.3130726332,4820.176039025971,-7060.982994297155,-7825.02212059886,-10011.002444255068,14129.194728694401,5130.40925206627,78608.62543864654,4305.974111916874,-1152106.0401710628,-0.6924318616225875,1802957.8750000002,2026-06-30
JA4MT31H3YP002255,349653,ER01,,1360843.0519005656,,2026-07-01,2026-07-30,2026-06-30,171218714,1360843.0519005656,2000,177.0,249370.0,0,0,14,2600,140014,2972.0,2105,1,0,1,0,2,2,0,0,19099.396865082825,-1246649.1867766376,45347.290340172214,103325.11945439885,202236.00244421954,171390.68287218627,-1418.1208330387876,-2292.546868328643,238962.33240850543,-214916.44551408582,-35024.97660372138,249958.5939422637,-27265.45957475455,22840.012129517934,1470.0644969345967,9873.654165522508,16400.602434597833,4548.853949594206,-442114.1306675707,-0.6924318616225875,1802957.874999998,2026-06-30
X2MXTGF2WMM013343,349653,ER01,,3224185.7390277665,,2026-07-01,2026-07-30,2026-06-30,171218714,3224185.7390277665,2021,145.5,48340.0,0,0,14,2060,140001,1998.0,1570,31,0,1,0,3,2,0,0,109091.31507548162,481498.89981380553,51618.607907632184,30939.965642121762,126255.58225597364,77645.57005275422,35685.35089660157,-8860.256130235124,47392.15992157256,149235.65502010763,3469.823418264747,200682.92357224718,53145.86908853939,13802.308591998672,-2364.1242504558854,6734.3630127864535,37439.30790427886,7815.2346661517995,1421228.5564596266,-0.6924318616225875,1802957.8750000014,2026-06-30
JMBLYV97W7J004975,349653,ER01,,1721603.8339737654,,2026-07-01,2026-07-30,2026-06-30,171218714,1721603.8339737654,2007,250.0,209025.0,0,0,14,2910,140005,3200.0,2290,377,0,1,0,2,2,0,0,78769.47533224498,-1232251.788958277,53844.13732508228,100716.2977208547,143123.15386304984,319601.36109652306,34119.942060094996,4887.3872675312205,-61245.23378778356,-101271.7708099037,-10186.406102020046,372098.01518324617,154285.09845926522,1210.7552449692287,4692.276633413188,17472.171996454737,34678.32850250982,4103.450378374856,-81353.34859437014,-0.6924318616225875,1802957.8749999972,2026-06-30
JMBXLCW6W7Z008583,349653,ER01,,1237134.6130551696,,2026-07-01,2026-07-30,2026-06-30,171218714,1237134.6130551696,2007,220.0,209025.0,0,0,14,2175,140001,2998.0,1725,186,0,1,0,2,2,0,0,60384.83462871835,-1235632.4166433762,51336.32751782891,15094.131468399084,164644.25620989935,284913.7132357021,26219.890030200146,-7857.019026455514,2135.8576376813458,-132758.4678997731,-15481.25837082489,134865.32210844,2290.2378774447434,26192.9990421881,5111.1556552420025,13858.60588979257,34566.07997969713,4293.181146227796,-565822.5695129681,-0.6924318616225875,1802957.8749999993,2026-06-30
JMBSNCS3A5U013221,349653,ER01,,582413.2020116448,,2026-07-01,2026-07-30,2026-06-30,171218714,582413.2020116448,2005,98.0,209025.0,0,0,14,1750,140002,1584.0,1300,115,0,2,0,4,1,0,0,46283.913015035105,-1059062.172967217,30217.851295913853,25311.482370595662,-16528.38768163073,-124128.75793073027,26234.20083862429,-6183.516635919369,-13036.80753718099,-108087.61117959359,-15751.54144263839,-55425.18424487594,4428.804890055348,-10271.198920146227,7403.842040944099,4833.160671164804,38982.88920726199,4235.053653844837,-1220543.9805564922,-0.6924318616225875,1802957.8749999986,2026-06-30
JMBXTCW4WAZ001290,349653,ER01,,1427429.9200683516,,2026-07-01,2026-07-30,2026-06-30,171218714,1427429.9200683516,2010,147.0,150099.0,0,0,14,2290,140011,1998.0,1540,31,0,1,0,4,2,0,0,55242.33123854122,-967112.818427419,45706.48555465612,66210.09465520897,78766.80918975902,96844.28368169272,45028.51265258152,3814.0381605923644,48697.59643995262,-38449.692393997226,1960.906784537818,115173.06212525992,2348.1787911081456,16332.568080615174,4189.542845135629,9276.22754788553,35123.34072236737,5321.269851736106,-375527.26249978604,-0.6924318616225875,1802957.8749999993,2026-06-30
